action_times,actions,button_pressed,correct,env,path,pr_freq,prs,pseudo_rewards,questions,responses,returns,rewards,rt,score,stars,stimulus,time_elapsed,trial,trial_id,trial_index,trial_type,view_history,worker_id,assignment_id,pid
,,,,,,,,,,,,,148920,,,,148966,,,,instructions,"[{""page_index"":0,""viewing_time"":6256},{""page_index"":1,""viewing_time"":48171},{""page_index"":2,""viewing_time"":36796},{""page_index"":3,""viewing_time"":49935},{""page_index"":4,""viewing_time"":7760}]",A1ZRH6U4OYYM1S,3GGAI1SQEVYRROVYCRY92FBXNFUMC8,18
,,,,,,,,,,,,,45791,,,,45816,,,,instructions,"[{""page_index"":0,""viewing_time"":17096},{""page_index"":1,""viewing_time"":13341},{""page_index"":2,""viewing_time"":7127},{""page_index"":3,""viewing_time"":6492},{""page_index"":4,""viewing_time"":1733}]",A20HITED8LB7O5,3A4TN5196KI5ZAUNLUIWAA316TVHCU,19
,,,,,,,,,,,,,17890,,,,83267,,,,instructions,"[{""page_index"":0,""viewing_time"":1521},{""page_index"":1,""viewing_time"":1122},{""page_index"":2,""viewing_time"":12047},{""page_index"":3,""viewing_time"":1370},{""page_index"":4,""viewing_time"":1829}]",A20HITED8LB7O5,3A4TN5196KI5ZAUNLUIWAA316TVHCU,19
,,,,,,,,,,,,,62130,,,,62156,,,,instructions,"[{""page_index"":0,""viewing_time"":14874},{""page_index"":1,""viewing_time"":15322},{""page_index"":2,""viewing_time"":25875},{""page_index"":3,""viewing_time"":2558},{""page_index"":4,""viewing_time"":3500}]",A21FSF2MCK11IR,3TOK3KHVJTI9FALEYQ5BEX8OH4I7OF,20
,,,,,,,,,,,,,27215,,,,121583,,,,instructions,"[{""page_index"":0,""viewing_time"":4108},{""page_index"":1,""viewing_time"":1429},{""page_index"":2,""viewing_time"":18701},{""page_index"":3,""viewing_time"":1712},{""page_index"":4,""viewing_time"":1264}]",A21FSF2MCK11IR,3TOK3KHVJTI9FALEYQ5BEX8OH4I7OF,20
,,,,,,,,,,,,,78977,,,,79001,,,,instructions,"[{""page_index"":0,""viewing_time"":36699},{""page_index"":1,""viewing_time"":9530},{""page_index"":2,""viewing_time"":19745},{""page_index"":3,""viewing_time"":9497},{""page_index"":4,""viewing_time"":3504}]",A22051NK9RQ4FV,3YJ6NA41JBGKK5YHEZ7N6NINI4EJPF,21
,,,,,,,,,,,,,18322,,,,120093,,,,instructions,"[{""page_index"":0,""viewing_time"":2648},{""page_index"":1,""viewing_time"":2191},{""page_index"":2,""viewing_time"":8559},{""page_index"":3,""viewing_time"":1817},{""page_index"":4,""viewing_time"":3106}]",A22051NK9RQ4FV,3YJ6NA41JBGKK5YHEZ7N6NINI4EJPF,21
,,,,,,,,,,,,,195604,,,,195644,,,,instructions,"[{""page_index"":0,""viewing_time"":29074},{""page_index"":1,""viewing_time"":7853},{""page_index"":2,""viewing_time"":105777},{""page_index"":3,""viewing_time"":48192},{""page_index"":4,""viewing_time"":4707}]",A24APYGPICROST,32Z9ZLUT1LK68ZRQBZRN5AXIV83HOI,22
,,,,,,,,,,,,,144849,,,,363116,,,,instructions,"[{""page_index"":0,""viewing_time"":9340},{""page_index"":1,""viewing_time"":19352},{""page_index"":2,""viewing_time"":111266},{""page_index"":3,""viewing_time"":2537},{""page_index"":4,""viewing_time"":2351}]",A24APYGPICROST,32Z9ZLUT1LK68ZRQBZRN5AXIV83HOI,22
,,,,,,,,,,,,,68794,,,,68868,,,,instructions,"[{""page_index"":0,""viewing_time"":27314},{""page_index"":1,""viewing_time"":7169},{""page_index"":2,""viewing_time"":18916},{""page_index"":3,""viewing_time"":12902},{""page_index"":4,""viewing_time"":2491}]",A24DYXCGZQUZUQ,323Q6SJS8IGC2MEXCW8XIGO436NHF5,23
,,,,,,,,,,,,,79148,,,,79215,,,,instructions,"[{""page_index"":0,""viewing_time"":15939},{""page_index"":1,""viewing_time"":10722},{""page_index"":2,""viewing_time"":28636},{""page_index"":3,""viewing_time"":19900},{""page_index"":4,""viewing_time"":3949}]",A26RO8GGTQAXGG,3X73LLYYQ1EOQEREAKRAQLXD5YYHN3,24
,,,,,,,,,,,,,71276,,,,71284,,,,instructions,"[{""page_index"":0,""viewing_time"":26330},{""page_index"":1,""viewing_time"":5322},{""page_index"":2,""viewing_time"":17824},{""page_index"":3,""viewing_time"":19536},{""page_index"":4,""viewing_time"":2264}]",A26Y58YECZUZZG,3X65QVEQI0N7L6DDCFXU22W8NBTCLN,25
,,,,,,,,,,,,,13215,,,,99652,,,,instructions,"[{""page_index"":0,""viewing_time"":1490},{""page_index"":1,""viewing_time"":5327},{""page_index"":2,""viewing_time"":4435},{""page_index"":3,""viewing_time"":1009},{""page_index"":4,""viewing_time"":954}]",A26Y58YECZUZZG,3X65QVEQI0N7L6DDCFXU22W8NBTCLN,25
,,,,,,,,,,,,,63928,,,,63943,,,,instructions,"[{""page_index"":0,""viewing_time"":17370},{""page_index"":1,""viewing_time"":8007},{""page_index"":2,""viewing_time"":30092},{""page_index"":3,""viewing_time"":4718},{""page_index"":4,""viewing_time"":3740}]",A27BPRHBM28XZS,3PQMUDRV7R6W88R7JMW3LP2BJCNIIL,26
,,,,,,,,,,,,,109553,,,,109584,,,,instructions,"[{""page_index"":0,""viewing_time"":42866},{""page_index"":1,""viewing_time"":9415},{""page_index"":2,""viewing_time"":38999},{""page_index"":3,""viewing_time"":15926},{""page_index"":4,""viewing_time"":2344}]",A28ZPY6D5AS7GZ,3SNVL38CI4SW10VVRFLTN2JTYBOCKK,27
,,,,,,,,,,,,,12438,,,,145605,,,,instructions,"[{""page_index"":0,""viewing_time"":1938},{""page_index"":1,""viewing_time"":2020},{""page_index"":2,""viewing_time"":5584},{""page_index"":3,""viewing_time"":1592},{""page_index"":4,""viewing_time"":1303}]",A28ZPY6D5AS7GZ,3SNVL38CI4SW10VVRFLTN2JTYBOCKK,27
,,,,,,,,,,,,,89457,,,,89487,,,,instructions,"[{""page_index"":0,""viewing_time"":24391},{""page_index"":1,""viewing_time"":5072},{""page_index"":2,""viewing_time"":28955},{""page_index"":3,""viewing_time"":21507},{""page_index"":4,""viewing_time"":4032},{""page_index"":3,""viewing_time"":2652},{""page_index"":4,""viewing_time"":2846}]",A2AMQX0BQZXG9N,3LRLIPTPEQ988LYX71P2H7T5Y7EKAZ,28
,,,,,,,,,,,,,75393,,,,75408,,,,instructions,"[{""page_index"":0,""viewing_time"":11932},{""page_index"":1,""viewing_time"":8368},{""page_index"":2,""viewing_time"":20948},{""page_index"":3,""viewing_time"":30690},{""page_index"":4,""viewing_time"":3454}]",A2B6WQG0A9CKXQ,3X66WABAJWI3ME3T8VPDW7N6LHYG3R,29
,,,,,,,,,,,,,9698,,,,100494,,,,instructions,"[{""page_index"":0,""viewing_time"":1215},{""page_index"":1,""viewing_time"":1114},{""page_index"":2,""viewing_time"":4692},{""page_index"":3,""viewing_time"":1180},{""page_index"":4,""viewing_time"":1497}]",A2B6WQG0A9CKXQ,3X66WABAJWI3ME3T8VPDW7N6LHYG3R,29
,,,,,,,,,,,,,108379,,,,108446,,,,instructions,"[{""page_index"":0,""viewing_time"":38139},{""page_index"":1,""viewing_time"":10375},{""page_index"":2,""viewing_time"":34904},{""page_index"":3,""viewing_time"":22617},{""page_index"":4,""viewing_time"":2343}]",A2CF2BD4Q0ZDJN,3300DTYQT2HX91D40BBL9CV5IS4EQG,30
,,,,,,,,,,,,,310238,,,,310252,,,,instructions,"[{""page_index"":0,""viewing_time"":173840},{""page_index"":1,""viewing_time"":16542},{""page_index"":2,""viewing_time"":104340},{""page_index"":3,""viewing_time"":12806},{""page_index"":4,""viewing_time"":2710}]",A2EYPSP4BXAZZ2,32KTQ2V7RDFPTQOV07OI0PAPHURM9R,31
,,,,,,,,,,,,,209417,,,,209443,,,,instructions,"[{""page_index"":0,""viewing_time"":70339},{""page_index"":1,""viewing_time"":16370},{""page_index"":2,""viewing_time"":106105},{""page_index"":3,""viewing_time"":12746},{""page_index"":4,""viewing_time"":3856}]",A2KLJKDG90K1PP,3QUO65DNQUOBDLXABYYMOPM8PFGOUZ,32
,,,,,,,,,,,,,77254,,,,77277,,,,instructions,"[{""page_index"":0,""viewing_time"":31403},{""page_index"":1,""viewing_time"":14520},{""page_index"":2,""viewing_time"":14811},{""page_index"":3,""viewing_time"":13168},{""page_index"":4,""viewing_time"":3351}]",A2NAKIXS3DVGAA,3A4TN5196KI5ZAUNLUIWAA316TVCHP,33
,,,,,,,,,,,,,183516,,,,183534,,,,instructions,"[{""page_index"":0,""viewing_time"":148654},{""page_index"":1,""viewing_time"":10686},{""page_index"":2,""viewing_time"":18391},{""page_index"":3,""viewing_time"":2015},{""page_index"":4,""viewing_time"":3769}]",A2RXPK0UN2O745,37UQDCYH6XV45UUBZ2RP9P2WDXF7VH,34
,,,,,,,,,,,,,598651,,,,598660,,,,instructions,"[{""page_index"":0,""viewing_time"":14330},{""page_index"":1,""viewing_time"":562586},{""page_index"":2,""viewing_time"":15184},{""page_index"":3,""viewing_time"":4407},{""page_index"":4,""viewing_time"":2143}]",A2S4YDJ9UGAXFQ,3DL65MZB8DFTF03LVTAQP76OED3CE9,35
,,,,,,,,,,,,,104511,,,,104521,,,,instructions,"[{""page_index"":0,""viewing_time"":24951},{""page_index"":1,""viewing_time"":3367},{""page_index"":2,""viewing_time"":1991},{""page_index"":3,""viewing_time"":16670},{""page_index"":4,""viewing_time"":57532}]",A2TH9DIRISH8FE,3R9WASFE2ZGYT7ERIIE4INS9ZW4FZT,36
,,,,,,,,,,,,,22815,,,,144485,,,,instructions,"[{""page_index"":0,""viewing_time"":9067},{""page_index"":1,""viewing_time"":2161},{""page_index"":2,""viewing_time"":9362},{""page_index"":3,""viewing_time"":1269},{""page_index"":4,""viewing_time"":956}]",A2TH9DIRISH8FE,3R9WASFE2ZGYT7ERIIE4INS9ZW4FZT,36
,,,,,,,,,,,,,57463,,,,57476,,,,instructions,"[{""page_index"":0,""viewing_time"":10151},{""page_index"":1,""viewing_time"":7375},{""page_index"":2,""viewing_time"":31208},{""page_index"":3,""viewing_time"":6704},{""page_index"":4,""viewing_time"":2024}]",A2YCMT5BPA0AG9,3IX2EGZR7BJ5WIEWRRBCBII2JM2JR7,37
,,,,,,,,,,,,,242251,,,,242264,,,,instructions,"[{""page_index"":0,""viewing_time"":54247},{""page_index"":1,""viewing_time"":12846},{""page_index"":2,""viewing_time"":109842},{""page_index"":3,""viewing_time"":56029},{""page_index"":4,""viewing_time"":9287}]",A35QZFRG4FKK3Z,3SNVL38CI4SW10VVRFLTN2JTYAZCKT,38
,,,,,,,,,,,,,101102,,,,101143,,,,instructions,"[{""page_index"":0,""viewing_time"":31827},{""page_index"":1,""viewing_time"":16849},{""page_index"":2,""viewing_time"":33007},{""page_index"":3,""viewing_time"":16889},{""page_index"":4,""viewing_time"":2528}]",A37RHQPON2RJYL,36DSNE9QZ5Y2Z5MGZZU8HNDX8ZIJOY,39
,,,,,,,,,,,,,31109,,,,162008,,,,instructions,"[{""page_index"":0,""viewing_time"":2843},{""page_index"":1,""viewing_time"":6599},{""page_index"":2,""viewing_time"":18793},{""page_index"":3,""viewing_time"":1614},{""page_index"":4,""viewing_time"":1259}]",A37RHQPON2RJYL,36DSNE9QZ5Y2Z5MGZZU8HNDX8ZIJOY,39
,,,,,,,,,,,,,140881,,,,140894,,,,instructions,"[{""page_index"":0,""viewing_time"":26716},{""page_index"":1,""viewing_time"":23703},{""page_index"":2,""viewing_time"":54547},{""page_index"":3,""viewing_time"":28154},{""page_index"":4,""viewing_time"":7761}]",A38BRN5NMJRPK5,3EICBYG644W1QGPD9ULHMNJGJLZCJU,40
,,,,,,,,,,,,,72252,,,,72272,,,,instructions,"[{""page_index"":0,""viewing_time"":13861},{""page_index"":1,""viewing_time"":10814},{""page_index"":2,""viewing_time"":25507},{""page_index"":3,""viewing_time"":19559},{""page_index"":4,""viewing_time"":2509}]",A38DXFI1TZA295,3ZPBJO59KP1F4201LQD7UGLJRT7HDU,41
