bonus,bonus_rate,completed,cond_i,counter_i,creation_time,depth,pseudo_f,seed,start_time,width,code_version,pid
1.3,0.05,True,0,3,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 16:55:20 GMT-0500 (EST),4,E,73
1.35,0.05,True,0,0,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 10:24:17 GMT-0800 (Pacific Standard Time),4,E,74
1.35,0.05,True,0,1,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:12:40 GMT-0500 (Eastern Standard Time),4,E,75
0.65,0.05,True,0,1,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 19:23:00 GMT-0500 (SA Pacific Standard Time),4,E,76
1.35,0.05,True,0,1,2017-03-02 09:19:24.566811,7,value,1,Fri Mar 03 2017 01:15:44 GMT+0700 (SE Asia Standard Time),4,E,77
1.5,0.05,True,0,3,2017-03-02 09:19:24.566811,7,value,1,Fri Mar 03 2017 05:11:03 GMT+1100 (AUS Eastern Standard Time),4,E,78
1.35,0.05,True,0,0,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 16:46:03 GMT-0500 (Eastern Standard Time),4,E,79
0.75,0.05,True,0,1,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 15:49:22 GMT-0500 (Eastern Standard Time),4,E,80
1.05,0.05,True,0,3,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:37:24 GMT-0500 (EST),4,E,81
1.1500000000000001,0.05,True,0,1,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 17:46:13 GMT-0600 (Central Standard Time),4,E,82
1.75,0.05,True,0,1,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:27:40 GMT-0600 (Central Standard Time),4,E,83
1.35,0.05,True,0,3,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 12:10:30 GMT-0600 (Central Standard Time),4,E,84
0.55,0.05,True,0,0,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 13:10:20 GMT-0500 (Eastern Standard Time),4,E,85
0.8,0.05,True,0,2,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 19:04:44 GMT-0500 (Eastern Standard Time),4,E,86
1.5,0.05,True,0,0,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 19:22:33 GMT-0500 (Eastern Standard Time),4,E,87
1.1500000000000001,0.05,True,0,0,2017-03-02 09:19:24.566811,7,value,1,Fri Mar 03 2017 09:10:40 GMT+0300 (+03),4,E,88
1.85,0.05,True,0,1,2017-03-02 09:19:24.566811,7,value,1,Thu Mar 02 2017 17:18:15 GMT-0500 (Eastern Standard Time),4,E,89
