action_times,actions,button_pressed,correct,env,path,pr_freq,prs,pseudo_rewards,questions,responses,returns,rewards,rt,score,stars,stimulus,time_elapsed,trial,trial_id,trial_index,trial_type,view_history,worker_id,assignment_id,pid
"[8959, 11828, 13074, 15242, 16662, 19072]","['down', 'down', 'down', 'up', 'up', 'up']",,,static/json/pachinko_33.json,"['0_1', '1_2', '2_2', '3_3', '4_2', '5_2', '6_1']",1.0,"[29, 29, 29, 27, 10, 0]",static/json/pseudo_rewards_99.json,,,"{'2': 15, '6': 30, '1': -9}","[1, 0, 0, 2, 17, 10]","[8946, 2351, 729, 1650, 901, 1898]",30.0,124.0,,84628,132.0,,0.0,graph,,A12R2U6TBB3OOG,30LSNF239UVSXND5UJBBY9VUUFX2IZ,1
"[14492, 15044, 15909, 17112, 17641, 18310]","['down', 'up', 'down', 'down', 'down', 'up']",,,static/json/pachinko_28.json,"['0_1', '1_2', '2_1', '3_2', '4_2', '5_3', '6_2']",0.0,[],,,,"{'2': 9, '6': 33, '1': -3}","[0, 8, 0, 2, 1, 22]","[14491, 40, 356, 693, 21, 156]",33.0,0.0,,105003,115.0,,1.0,graph,,A12R2U6TBB3OOG,30LSNF239UVSXND5UJBBY9VUUFX2IZ,1
"[68000, 68524, 70518, 71652, 72667, 73310]","['down', 'down', 'up', 'up', 'down', 'down']",,,static/json/pachinko_10.json,"['0_1', '1_2', '2_2', '3_2', '4_1', '5_2', '6_2']",2.0,"[40, 36, 0]",static/json/pseudo_rewards_31.json,,,"{'2': 27, '6': 39, '1': -15}","[0, -1, 4, 0, 28, 8]","[67993, 12, 1469, 626, 504, 129]",39.0,76.0,,181735,41.0,,2.0,graph,,A12R2U6TBB3OOG,30LSNF239UVSXND5UJBBY9VUUFX2IZ,1
"[41150, 42277, 47726, 48253, 48879, 49700]","['up', 'down', 'down', 'down', 'down', 'down']",,,static/json/pachinko_24.json,"['0_0', '1_0', '2_0', '3_1', '4_1', '5_2', '6_2']",0.0,[],,,,"{'2': 16, '6': 29, '1': -3}","[2, 5, -2, -2, 12, 1]","[41150, 622, 4936, 13, 112, 312]",16.0,0.0,,233745,99.0,,3.0,graph,,A12R2U6TBB3OOG,30LSNF239UVSXND5UJBBY9VUUFX2IZ,1
"[5915, 6439, 8325, 9557, 14101, 14961]","['up', 'down', 'down', 'down', 'up', 'up']",,,static/json/pachinko_30.json,"['0_0', '1_0', '2_0', '3_1', '4_1', '5_1', '6_0']",2.0,"[23, 19, 0]",static/json/pseudo_rewards_91.json,,,"{'2': 1, '6': 22, '1': -17}","[-1, 0, 7, -3, 10, 9]","[5910, 3, 1353, 722, 4029, 345]",22.0,42.0,,250634,121.0,,4.0,graph,,A12R2U6TBB3OOG,30LSNF239UVSXND5UJBBY9VUUFX2IZ,1
"[1973, 3368, 5328, 7584, 8876, 9588]","['down', 'down', 'up', 'down', 'up', 'down']",,,static/json/pachinko_5.json,"['0_0', '1_1', '2_1', '3_1', '4_1', '5_1', '6_1']",1.0,"[31, 29, 27, 23, 22, 0]",static/json/pseudo_rewards_15.json,,,"{'2': 11, '6': 31, '1': -29}","[0, 2, 2, 4, 1, 22]","[1968, 887, 1447, 1737, 779, 191]",31.0,132.0,,264496,20.0,,5.0,graph,,A12R2U6TBB3OOG,30LSNF239UVSXND5UJBBY9VUUFX2IZ,1
"[8747, 15091, 15973, 19629, 20159, 21193]","['down', 'up', 'up', 'down', 'up', 'up']",,,static/json/pachinko_39.json,"['0_2', '1_3', '2_2', '3_2', '4_2', '5_2', '6_1']",3.0,"[35, 0]",static/json/pseudo_rewards_119.json,,,"{'2': 17, '6': 36, '1': -5}","[-2, 3, 0, -2, 10, 27]","[8742, 5835, 361, 3137, 23, 524]",36.0,35.0,,287938,158.0,,6.0,graph,,A12R2U6TBB3OOG,30LSNF239UVSXND5UJBBY9VUUFX2IZ,1
"[1832, 6225, 7977, 8873, 11570, 12515]","['down', 'up', 'up', 'down', 'down', 'up']",,,static/json/pachinko_21.json,"['0_0', '1_1', '2_0', '3_0', '4_0', '5_1', '6_0']",1.0,"[35, 37, 41, 41, 35, 0]",static/json/pseudo_rewards_63.json,,,"{'2': 14, '6': 36, '1': -16}","[1, -2, -4, 0, 6, 35]","[1826, 3874, 1232, 378, 2174, 422]",36.0,189.0,,302552,84.0,,7.0,graph,,A12R2U6TBB3OOG,30LSNF239UVSXND5UJBBY9VUUFX2IZ,1
"[2981, 4214, 5327, 6778, 8672, 10281]","['down', 'down', 'down', 'down', 'up', 'down']",,,static/json/pachinko_9.json,"['0_1', '1_2', '2_2', '3_3', '4_3', '5_3', '6_3']",1.0,"[28, 28, 28, 18, 1, 0]",static/json/pseudo_rewards_27.json,,,"{'2': 3, '6': 27, '1': -15}","[-1, 0, 0, 10, 17, 1]","[2976, 720, 605, 935, 1380, 1091]",27.0,103.0,,315277,36.0,,8.0,graph,,A12R2U6TBB3OOG,30LSNF239UVSXND5UJBBY9VUUFX2IZ,1
"[4706, 5310, 8259, 9210, 11145, 12174]","['down', 'down', 'down', 'down', 'down', 'down']",,,static/json/pachinko_6.json,"['0_0', '1_1', '2_1', '3_2', '4_2', '5_3', '6_3']",2.0,"[33, 41, 0]",static/json/pseudo_rewards_19.json,,,"{'2': 12, '6': 35, '1': -1}","[1, 1, 1, -9, 20, 21]","[4700, 94, 2437, 442, 1421, 509]",35.0,74.0,,332805,25.0,,9.0,graph,,A12R2U6TBB3OOG,30LSNF239UVSXND5UJBBY9VUUFX2IZ,1
